id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_x,studio_bom,domestic_gross_y,foreign_gross_bom,year_y,movie_clean,profit,ROI,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,main_genres,clean_title
9,2018-11-21,robin hood,99000000.0,30824628.0,247224628.0,2018,Uni.,105300000.0,216400000.0,2010.0,robin hood,148224628.0,1.4972184646464646,tt0955308,Robin Hood,Robin Hood,2010,140,"Action,Adventure,Drama",6.6,239480,Action,robin hood
9,2018-11-21,robin hood,99000000.0,30824628.0,247224628.0,2018,Uni.,105300000.0,216400000.0,2010.0,robin hood,148224628.0,1.4972184646464646,tt2363363,Robin Hood,Robin Hood,2013,92,"Action,Drama",6.3,78,Action,robin hood
9,2018-11-21,robin hood,99000000.0,30824628.0,247224628.0,2018,Uni.,105300000.0,216400000.0,2010.0,robin hood,148224628.0,1.4972184646464646,tt4532826,Robin Hood,Robin Hood,2018,116,"Action,Adventure,Thriller",5.3,41588,Action,robin hood
42,2018-02-16,black panther,200000000.0,700059566.0,1346959566.0,2018,BV,700100000.0,646900000.0,2018.0,black panther,1146959566.0,5.73479783,tt1825683,Black Panther,Black Panther,2018,134,"Action,Adventure,Sci-Fi",7.3,516148,Action,black panther
44,2018-06-15,incredibles 2,200000000.0,608581744.0,1242781744.0,2018,BV,608600000.0,634200000.0,2018.0,incredibles 2,1042781744.0,5.21390872,tt3606756,Incredibles 2,Incredibles 2,2018,118,"Action,Adventure,Animation",7.7,203510,Action,incredibles 2
45,2016-12-16,rogue one: a star wars story,200000000.0,532177324.0,1056077324.0,2016,BV,532200000.0,523900000.0,2016.0,rogue one: a star wars story,856077324.0,4.28038662,tt3748528,Rogue One: A Star Wars Story,Rogue One,2016,133,"Action,Adventure,Sci-Fi",7.8,478592,Action,rogue one: a star wars story
46,2016-06-17,finding dory,200000000.0,486295561.0,1028595561.0,2016,BV,486300000.0,542300000.0,2016.0,finding dory,828595561.0,4.142977805,tt2277860,Finding Dory,Finding Dory,2016,97,"Adventure,Animation,Comedy",7.3,213542,Adventure,finding dory
47,2010-06-18,toy story 3,200000000.0,415004880.0,1067004880.0,2010,BV,415000000.0,652000000.0,2010.0,toy story 3,867004880.0,4.3350244,tt0435761,Toy Story 3,Toy Story 3,2010,103,"Adventure,Animation,Comedy",8.3,682218,Adventure,toy story 3
48,2013-05-03,iron man 3,200000000.0,408992272.0,1214792272.0,2013,BV,409000000.0,805800000.0,2013.0,iron man 3,1014792272.0,5.07396136,tt1300854,Iron Man 3,Iron Man Three,2013,130,"Action,Adventure,Sci-Fi",7.2,692794,Action,iron man 3
51,2010-03-05,alice in wonderland,200000000.0,334191110.0,,2010,unknown,,,,alice in wonderland,,,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,108,"Adventure,Family,Fantasy",6.5,358813,Adventure,alice in wonderland
51,2010-03-05,alice in wonderland,200000000.0,334191110.0,,2010,unknown,,,,alice in wonderland,,,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,99,"Fantasy,Musical",6.5,6,Fantasy,alice in wonderland
60,1951-07-28,alice in wonderland,3000000.0,0.0,,1951,unknown,,,,alice in wonderland,,,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,108,"Adventure,Family,Fantasy",6.5,358813,Adventure,alice in wonderland
60,1951-07-28,alice in wonderland,3000000.0,0.0,,1951,unknown,,,,alice in wonderland,,,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,99,"Fantasy,Musical",6.5,6,Fantasy,alice in wonderland
52,2012-11-08,skyfall,200000000.0,304360277.0,1108560277.0,2012,Sony,304400000.0,804200000.0,2012.0,skyfall,908560277.0,4.542801385,tt1074638,Skyfall,Skyfall,2012,143,"Action,Adventure,Thriller",7.8,592221,Action,skyfall
53,2013-06-21,monsters university,200000000.0,268488329.0,744188329.0,2013,BV,268500000.0,475700000.0,2013.0,monsters university,544188329.0,2.720941645,tt1453405,Monsters University,Monsters University,2013,104,"Adventure,Animation,Comedy",7.3,291887,Adventure,monsters university
54,2013-03-08,oz the great and powerful,200000000.0,234770996.0,493170995.0,2013,BV,234900000.0,258399999.0,2013.0,oz the great and powerful,293170995.0,1.465854975,tt1623205,Oz the Great and Powerful,Oz the Great and Powerful,2013,130,"Adventure,Family,Fantasy",6.3,192045,Adventure,oz the great and powerful
55,2014-05-23,x-men: days of future past,200000000.0,233921534.0,747821534.0,2014,Fox,233900000.0,513900000.0,2014.0,x-men: days of future past,547821534.0,2.73910767,tt1877832,X-Men: Days of Future Past,X-Men: Days of Future Past,2014,132,"Action,Adventure,Sci-Fi",8.0,620079,Action,x-men: days of future past
56,2014-05-02,the amazing spider-man 2,200000000.0,202853933.0,708953933.0,2014,Sony,202900000.0,506100000.0,2014.0,the amazing spider-man 2,508953933.0,2.544769665,tt1872181,The Amazing Spider-Man 2,The Amazing Spider-Man 2,2014,142,"Action,Adventure,Sci-Fi",6.6,388363,Action,the amazing spider-man 2
57,2011-06-24,cars 2,200000000.0,191450875.0,562150875.0,2011,BV,191500000.0,370700000.0,2011.0,cars 2,362150875.0,1.810754375,tt1216475,Cars 2,Cars 2,2011,106,"Adventure,Animation,Comedy",6.2,138914,Adventure,cars 2
58,2010-12-17,tron: legacy,200000000.0,172062763.0,,2010,unknown,,,,tron: legacy,,,tt1104001,TRON: Legacy,Tron,2010,125,"Action,Adventure,Fantasy",6.8,296211,Action,tron: legacy
60,2018-11-16,fantastic beasts: the crimes of grindelwald,200000000.0,159555901.0,653655901.0,2018,WB,159600000.0,494100000.0,2018.0,fantastic beasts: the crimes of grindelwald,453655901.0,2.268279505,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,134,"Adventure,Family,Fantasy",6.6,163151,Adventure,fantastic beasts: the crimes of grindelwald
62,2011-06-17,green lantern,200000000.0,116601172.0,219901172.0,2011,WB,116600000.0,103300000.0,2011.0,green lantern,19901172.0,0.09950586,tt1133985,Green Lantern,Green Lantern,2011,114,"Action,Adventure,Sci-Fi",5.5,252281,Action,green lantern
64,2011-06-29,transformers: dark of the moon,195000000.0,352390543.0,1123790543.0,2011,P/DW,352400000.0,771400000.0,2011.0,transformers: dark of the moon,928790543.0,4.763028425641026,tt1399103,Transformers: Dark of the Moon,Transformers: Dark of the Moon,2011,154,"Action,Adventure,Sci-Fi",6.2,366409,Action,transformers: dark of the moon
